"Nombre,Ciudad,Departamento,Dirección,Teléfono,Página web,Descripción"
"Wesco Acero Inoxidable",Medellín,Antioquia,"Zona Antioquia","(+57) 316 3044430",http://www.wesco.com.co,"Acero inoxidable Certificado, Láminas Planas, Rollo,Tubería Ornamental Redonda, Cuadrada, Rectangular, tuberías Estructural SCH10 SCH40, Varillas, Ejes,Barras isas,Redondas,Cuadradas,Platinas,ángulos Lamina alfajor, accesorios, discos bridas, tapón, servicio corte láser, cortes cizalla, servicio plegado plastificado tipo acero inoxidable 316L 304 opaco 2B 430 brillante BA satinado T4 Black Gold Rose T8. Llame Gratis desde Celular Claro: #316, #304, #430 - Movistar: #304, #430 - Tigo: #316, #430"
"Antioqueña De Rodachinas Ltda.",Medellín,Antioquia,"Cr52 40 - 112 Cc Paseo Bolívar","(+57) 320 6989443",http://www.antioquenaderodachinas.com,"Importadores distribuidores y fabricantes de Ruedas-Rodachinas-Transporte Industrial Ruedas fabricadas en materiales de excelente calidad y una amplia gama en diferentes materiales, permitiendo un gran rendimiento en los más exigentes ambientes como: corrosivos, químicos, delicados, terrenos agresivos y de alta temperatura."
"Herrajes Andina S.A.S.",Medellín,Antioquia,Medellín,"(+57) 4 3720238",http://www.herrajesandina.com,"Líder en soluciones efectivas a sus necesidades específicas. Estructuras metálicas, herrajes eléctricos, formaletas metálicas, galvanizado y metalmecánica."
"Internacional Ferretera",Medellín,Antioquia,"Atiende en Medellín desde su sede principal en Itagüí","(+57) 310 6538874",http://www.interfer.com.co,"Con una experiencia de más de 30 años en el mercado, nos hemos especializado en suministrar herramientas, equipos y accesorios para el montaje y mantenimiento de proyectos en los diferentes sectores. Herramienta manual - herramienta para tubería - pinturas - herramienta de corte - izaje de carga - siliconas y sellantes - abrasivos y accesorios - herramienta eléctrica - manejo de alturas - instrumentos de medición - carretillas, ruedas, rodachinas - cerraduras - elementos de seguridad industrial."
"Laminas Y Cortes Industriales S.A.",Medellín,Antioquia,"Atiende en Medellín desde su sede principal en Cali","(+57) 317 6399462",http://www.lamincortes.com,"Fabricamos estructuras, equipos, piezas y partes, postes metálicos,corte con cizalla, laser, tecnología cnc, rolado de láminas,soldadura, punzonadora, dobles de lámina,curvadora de tuberías y perfiles Comercializamos todo tipos láminas: cold rolled, hot rolled, galvanizada, naval, inoxidable, anti - desgaste, alfajor, lámina 1045, aceros especiales, aceros redondos, cuadrados 1020, suministro de perfiles, estructurales en 1, H, ángulos, canales, vigas, bronces."
"Cielos Y Muros S.A.S.",Medellín,Antioquia,"Sec Llano Grande A 100 Mts de la Fonda la Amalia en la Vía al Club Campestre","(+57) 312 2586722",http://www.cielosymuros.co,"Ofrecemos cielos rasos, tratamientos acústicos y térmicos, proporcionando una solución integral de confort acústico con materiales como la fibra de vidrio e importados en madera. Es esencial que la persona que se encarga de realizar los trabajos de arquitectura sea un profesional, por ello tenemos la experiencia en la instalación, asesoría y suministro de productos para acabados técnicos y arquitectónicos que están a la vanguardia en diseño, confort y modularidad."
"Pinturas Azteca",Medellín,Antioquia,"Cl 29 45 - 87","(+57) 4 4448133",http://.com,"La pintura epóxiacril de AZTECA la puedes aplicar en paredes, techos, cielos, pisos, etc. La pintura epóxiacril de AZTECA es ideal para aquellos lugares donde se necesita una mayor protección ya sea contra productos químicos, y es ideal para aplicarla en laboratorios, plantas para el tratamiento de agua, industrias alimenticias o donde la higiene y la protección sea un factor indispensable"
"Electro Rey S.A.S",Medellín,Antioquia,"Atiende en Medellín desde su sede principal en Bucaramanga","(+57) 300 3229848",http://www.electrorey.co,"Satisfacer las necesidades de nuestros clientes brindándoles soluciones integrales con tecnologías de punta en el sector eléctrico, electrónico y de telecomunicaciones."
"Almacenes H.J. S.A.",Medellín,Antioquia,"Cr50 42-108","(+57) 4 2327271",http://www.almaceneshj.com,"Venta y reparación de herramientas eléctricas, guadañas, equipos de seguridad industrial. Servicio técnico venta y reparación de guadañas y herramientas eléctricas. Todo en equipos para seguridad industrial"
"Uniperfiles S.A.S",Medellín,Antioquia,"Atiende en Medellín desde su sede principal en Bogotá, D.C.",,http://www.uniperfilesltda.com,"Línea para drywall perforados, estriados y lisos, línea cielo raso en PVC y sus accesorios, línea portaprecios, línea hospitalaria, línea carrocerías, línea oficinas modulares, linea de pisos. Líderes en extrusión de perfilería plástica. Dilataciones, esquineros, media caña para ambientes con asepsia y sus accesorios, juntas de expansión y contracción, guarda escobas, guardacamilla, porta precios, desarrollos especiales (Perfilería para carrocerías, oficinas modulares)."
"Aceros Luisesco S.A.",Medellín,Antioquia,"Cr55 59 - 84","(+57) 4 4488304",http://www.acerosluisesco.com,"Acero inoxidable: Láminas, rollos, tubería, ángulos, barras, platinas, alambre, accesorios para pasamanos, distribución a nivel nacional. Comercializamos acero inoxidable a nivel nacional : Láminas, rollos, tubería cuadrada, ángulos, barras, platinas, alambre, accesorios para pasamanos y asesoría en general"
"Corsan S.A.",Medellín,Antioquia,"Carrera 42 # 85 B-71 Itagüí","(+57) 4 4440755",http://www.corsan.com.co,"Clavo común, Clavos de acero, Alambre púas y Galvanizado, Grapas, arandelas, varilla roscada, Tornillos, Postes metálicos, Arandelas, alambres,metalmecánica - sujetadores - fijadores. Somos reconocidos por calidad y servicio.Atendemos el sector de la construcción, agropecuario e industrial.Corsan está comprometida con el medio ambiente, cumpliendocon las normas establecidas por la ley.Producción y comercialización de elementos derivados del acero como:alambres, clavos, tornillos"
"Cauchos Mc",Medellín,Antioquia,"Cl 7 S 51-45","(+57) 312 8023879",http://www.cauchosmc.com,"Fabricación de repuestos especiales en caucho y plástico para la industria en general, metalmecánica, empaques para manhole, intercambiadores de Calor Fabricamos piezas industriales de alta precisión en caucho, plástico, poliuretano y maquinación metalmecánicacon altas especificaciones técnicas y estándares de calidad. Más de 10 años de experiencia en producción, distribución y comercialización de repuestos en caucho y plástico."
Construavenida,Medellín,Antioquia,"Cr50 45 - 15","(+57) 4 4447760",http://www.construavenida.com,"Venta y distribución de materiales de construcción y artículos de ferretería en general, también contamos con una amplia gama de productos para el hogar, como herramientas, accesorios y demás. Accesorios y tubería PVC Pavco, grival y mallas metálicas, impermeabilizantes sika, lavaplatos Socoda, cemento Argos, gricol, accesorios y tuberías cobre, tejas plásticas Ajover, mantos de aluminio, hierro y adobes, tejas colombit, arena, accesorios y tubería para gas, impermeabilizantes bronco."
"Deposito Y Ferretería La Esquina",Medellín,Antioquia,Medellín,"(+57) 313 7652017",http://.com,"Suministro de artículos para la industria y la construcción, cemento, adobe, hierro, eléctricos, ferretería, pintura, pegantes. Distribuimos Cemex, Argos, Pintuco, Bronco, Sika, Corona, Grival. Es una empresa especializada en el sector ferretero que trabaja dia a dia para satisfacer las necesidades de nuestros clientes a través de un amplio portafolio de productos con las mejores marcas, precios competitivos y sobre todo un excelente servicio."
"Antopelaez S.A.",Medellín,Antioquia,"Cl 48 55-33","(+57) 4 4489343",,"Ferretería y materiales para construcción Materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción"
"Ferretería Tiendas",Medellín,Antioquia,"Cr72 29 - 32","(+57) 4 3420420",http://www.ferreteriatiendas.com.co,"Estamos ubicados en la ciudad de Medellín. Importadores distribuidores de plantas, distribuidores de herramientas eléctricas, abrasivos, equipos para la industria y la construcción. Una empresa dedicada a la comercialización de productos de ferretería liviana, constituida con el objeto de cubrir las necesidades de los diferentes sectores de la economía, talescomo la industria, la construcción, el agro, eléctrico, minero, automotriz y alimentos, entre otros."
Tecniválvulas,Medellín,Antioquia,"Atiende en Medellín desde su sede principal en Sabaneta","(+57) 314 8582058",http://www.tecnivalvulas.com,"Linea de Tuberías y Accesorios. Válvulas y Registros. Macro y Micromedición. Sistemas de Bombeo. Sistemas de Redes contra Incendio. Plantas de Mantenimiento y Tanques de Almacenamiento. Dedicada al cálculo, diseño, construcción, fabricación, comercialización, asesoría técnica e instalación de productos para soluciones ingenieriles en el campo de la construcción, especialmente enfocada en el manejo del agua. Todo esto concordante con las normas técnicas y exigencias establecidas."
"Ingepack S.A.S.",Medellín,Antioquia,"Cl 80 S 47 D-65 Bdg 112 Sabaneta","(+57) 4 3010105",,"Diseño, fabricación de productos termoformados como bandejas, tapas, estuches, servicios de skin pack, sellados blister, Servicio de Finalización de Producto y Empacado, Servicio de Maquila. Desde 1994 estamos dedicados a la producción de empaques rigidos PVC, PET y PP. Así mismo al empaque skin pac, desarrollamos todo tipo de empaque para la industria alimenticia, farmacéutica, ferretería y repuestos. Asesoramos el diseño y fabricación de empaques (termoformados, blister)."
"Perforaire S.A.S.",Medellín,Antioquia,"Cr51 41-144 Loc 126","(+57) 4 2624637",http://www.perforaire.com,"Lo que necesiten en tu empresa todo lo relacionado en minería y construcción en la cuidad de Medellin."
"Mundial De Perfiles Ltda",Medellín,Antioquia,"Atiende en Medellín desde su sede principal en Bogotá, D.C.","(+57) 310 2044633",http://www.mundialdeperfiles.co,"Dobladora y cortadora de lámina hasta 3/8 por 6mts, Ofrecemos tubería metálica de la mejor calidad. - Corte de lámina C.R. - H.R galvanizada hasta 3/8 por 6 mts.- Troquelado de aluminio para furgones"
"Deposito De Materiales La Ramada",Medellín,Antioquia,"Cr 25 29-60 Marinilla","(+57) 4 5481200",http://.com,"""En Deposito De Materiales La Ramada nos especializamos en la venta de las mejores marcas en la construcción ¡Contáctenos!"""
"Depósito Los Botero",Medellín,Antioquia,"Cr78b 3 - 39 Belén","(+57) 4 4790729",http://www.facebook.com/losboterodeposito,"Somos una empresa dedicada a la venta, distribución y comercialización de materiales de construcción y artículos de ferretería; con servicio de transporte de materiales a toda el área metropolitana Podrás encontrar artículos de ferretería, material de playa, pinturas, cemento, hierro, tubería, eléctricos, servicio de volqueta, servicio de transporte, arena, adobe, bloques y todo lo que necesites para tu construcción o remodelación."
"Cables Y Guayas De Acero Algofer",Medellín,Antioquia,"Atiende en Medellín desde su sede principal en Bogotá, D.C.","(+57) 321 4983819",https://www.cablesyguayasalgofer.com/,"Ferretería especializada, cables y guayas Cables y Guayas Algofer es una empresa distribuidora de cables y guayas en acero, perros, grilletes, tensores, guardacables y todo lo relacionado con ferretería especializada."
"Electro Universal Sas",Medellín,Antioquia,"Atiende en Medellín desde su sede principal en Cúcuta",,http://electrouniversal.com.co,"Materiales eléctricos, resistencias, pirómetros, termocuplas, control y maniobra industrial, automatización y cableado. Ofrece a sus clientes el más amplio portafolio de piezas y suministros eléctricos en la zona de Norte de Santander y la frontera, bajo altos estándares de calidad y tecnología, apoyando el desarrollo de la industria y comercio del Norte de Santander."
"Encolor S.A.S.",Medellín,Antioquia,"Cl 29 43 G - 19","(+57) 4 4481596",http://www.encolor.com.co,"Servicio a domicilio en pinturas y productos"
"Aceros Duramax Y Materiales S.A.S",Medellín,Antioquia,"Carrera 52 # 112-105 - cerca la estación Acevedo","(+57) 313 7312404",http://www.acerosduramaxymateriales.com,"Figuración de aceros y comercialización de materiales para la construcción. Tales como : Barras corrugadas (varillas)Flejes (Estribos). cemento, bloquelon, perfiles (Riel para placa Fácil), Alambre."
"Almacen Rev",Medellín,Antioquia,"Cra. 45 #29 32","(+57) 4 4488738",http://www.almacenrev.com,"Todo para la industria agrícola"
"Doblamos S.A.",Medellín,Antioquia,"Cr52 39 - 48","(+57) 4 2323574",http://www.doblamos.com,"Somos una compañía especializada en soluciones integrales en acero. Actualmente, contamos con 4 líneas de negocios:Primera línea: Distribución de acero: Vigas, tubería estructural, barras corrugadas. Segunda línea: Transformación y Soluciones en: Corte, doblez, cilindrado, punzonado, entre otros. (disponible en Antioquia).Tercera línea: Estructuras metálicas, ingeniería, fabricación y montaje.Cuarta línea: Fachadas metálicas."
